sample_key,log_tau_eff_step12,tau_eff_step12,material_system,n_or_p,sigma_fit_log_rmse_step12,sigma_fit_mape_step12
10.1063_1.3677982__sample_3985,-1.1742715337651275,0.3090440258467222,unknown,n,0.0514425920419233,0.0472066749704762
10.1063_1.3677982__sample_3986,-2.0213900409591807,0.1324711966502042,unknown,n,0.0522446770130973,0.041729190282123
10.1063_1.3677982__sample_3987,-1.653937128262644,0.1912952700269558,unknown,p,1.0895635555917105,1.9076784286819344
10.1063_1.3678012__sample_3989,-0.1665852208730451,0.8465506700740933,unknown,p,0.1301665516494049,0.1060713867275261
10.1063_1.3678012__sample_3990,0.2890629855240047,1.3351758226289518,unknown,p,0.1273759656606894,0.1011979967211541
10.1063_1.3678012__sample_3991,0.9379703344412408,2.55479078162362,unknown,p,0.091711917584906,0.0673574004093554
10.1063_1.3678012__sample_3992,1.1681512282108717,3.216041412358223,unknown,p,0.0968135298986765,0.0754481886773527
10.1063_1.3678044__sample_10690,-2.4547970112165585,0.0858806264758442,unknown,p,0.9511395252689844,1.0055614559194328
10.1063_1.3678044__sample_10691,-0.5603166704629047,0.5710282074476021,unknown,p,0.1400477176628252,0.12796707660047
10.1063_1.3678044__sample_10692,-0.5517165884013966,0.5759602745836222,unknown,p,0.0948953057674135,0.0831532504027056
10.1063_1.3678044__sample_10693,-1.2184500114344163,0.2956881251302677,unknown,p,0.1788121893407425,0.1567146058716765
10.1063_1.3679561__sample_25004,-4.975469347653245,0.006905277203113,unknown,p,4.476197927449235,13113.694304859207
10.1063_1.3679561__sample_25005,-5.313002228603318,0.0049271121733842,unknown,p,4.548587498611365,5747.683554284766
10.1063_1.3679561__sample_25006,-5.939882210917002,0.0026323396936316,unknown,p,5.107658163413087,14768.32356597295
10.1063_1.3679561__sample_25007,-5.746926554045138,0.0031925779490713,unknown,p,5.06668259427832,15965.625396873602
10.1063_1.3679561__sample_25008,-5.875121068315222,0.0028084541591287,unknown,p,4.725088558560791,4138.096496232128
10.1063_1.3679561__sample_25009,-5.681244236705487,0.0034093138098958,unknown,p,4.523296251781399,3193.1033025780443
10.1063_1.3679561__sample_25010,-6.823461482111316,0.0010879484827192,unknown,p,5.232062054227305,4042.5174220983454
10.1063_1.3679561__sample_25011,-6.7492460816180015,0.0011717627013038,unknown,p,5.539911969671492,8908.82987400014
10.1063_1.3679561__sample_25012,-8.072380561277031,0.0003120395668785,unknown,p,5.418810214712163,2781.370553415183
10.1063_1.3679561__sample_25013,-8.050784112788843,0.0003188518086543,unknown,p,5.434533921684717,3399.172409264898
10.1063_1.3679561__sample_25015,-2.5458355465221336,0.0784075114799387,unknown,p,0.2848460771522305,0.2461612130084522
10.1063_1.3679561__sample_25016,-0.7793246695861046,0.4587156913829883,unknown,p,1.477736950424699,2.9748862869932102
10.1063_1.3679561__sample_25017,-1.407436158288589,0.2447700309841462,unknown,p,1.0649943781319522,1.3496623728768045
10.1063_1.3679561__sample_25018,-0.2935988407622404,0.745575525968737,unknown,p,1.1929046817505573,2.364734562784886
10.1063_1.3682585__sample_830,1.2962763690713397,3.655658967699583,unknown,n,0.0706112031914481,0.0593993239226503
10.1063_1.3682585__sample_831,-0.5678336869809782,0.5667518717593035,unknown,n,0.0677825419844506,0.0541367866790241
10.1063_1.3682585__sample_832,-0.417539038048976,0.6586657783192231,unknown,n,0.1188944521166158,0.093997749168475
10.1063_1.3682585__sample_833,-0.3155654124934161,0.7293763591535788,unknown,p,0.2324512311400099,0.2145978681884923
10.1063_1.3682585__sample_834,0.1592826481235382,1.1726693526349288,unknown,p,0.0886787796305136,0.0677689125774054
10.1063_1.3682585__sample_835,1.4267814597988075,4.165271500958394,unknown,p,0.0842182900365442,0.0700792536048262
10.1063_1.3691260__sample_1353,2.1717695532674783,8.773796011464126,unknown,n,0.3037248172195355,0.2538365946040045
10.1063_1.3691260__sample_1354,0.872940066676319,2.3939388569208613,unknown,n,0.1510842296982787,0.1289575076305663
10.1063_1.3691260__sample_1355,1.8104115326878103,6.112962598587209,unknown,p,0.2070207272354422,0.1577032186309356
10.1063_1.3691260__sample_1356,2.005835078043804,7.43229785475626,unknown,p,0.2146932374687732,0.1590647897402666
10.1063_1.3691260__sample_1357,2.050662265680712,7.77304722448128,unknown,p,0.1513743790905095,0.1046349301725839
10.1063_1.3691260__sample_1358,2.1975904273570923,9.003293252569385,unknown,n,0.1109232648823035,0.1023067170481176
10.1063_1.3691260__sample_1359,2.295997983591365,9.934345380450123,unknown,n,0.0912608418128514,0.0759018920398221
10.1063_1.3694742__sample_164,-1.0315092826183443,0.3564685425835925,unknown,n,0.0801932022466227,0.0590210364034214
10.1063_1.3694742__sample_165,-1.0482801458410709,0.3505401088412974,unknown,n,0.153208688591543,0.1129799948140943
10.1063_1.3694742__sample_167,-1.236317788727148,0.2904517560126954,unknown,n,0.2075188510521718,0.1575162700346541
10.1063_1.3694742__sample_169,-1.2629706590187058,0.282812637466475,unknown,n,0.0936432005902197,0.0685169072551959
10.1063_1.3694742__sample_172,-0.815696296617252,0.4423312263723329,unknown,n,0.0807071435931517,0.0561380680631358
10.1063_1.3694742__sample_197,-0.3206661916280663,0.7256654437652561,unknown,n,0.1784809497018232,0.1391809715604857
10.1063_1.3694742__sample_256,-1.3193395897695126,0.2673117791194377,unknown,n,0.1132350664176243,0.0748851545258342
10.1063_1.3694742__sample_257,0.0580148665266233,1.0597307501085906,unknown,n,0.1516712922626652,0.1236203689743983
10.1063_1.3694742__sample_307,-0.8431066389128204,0.4303714358257329,unknown,n,0.181949679170942,0.1373850510276166
10.1063_1.3694742__sample_336,-0.6371425947118329,0.5288012668650368,unknown,n,0.1556035386652514,0.1154116262643991
10.1063_1.3694742__sample_347,-1.4104980516689078,0.2440217174593212,unknown,n,0.1062108568801889,0.0741165095744948
10.1063_1.3694742__sample_403,-0.430466207518382,0.6502058931754929,unknown,n,0.1472710006928221,0.1099187897158574
10.1063_1.3695155__sample_17965,3.717701317349208,41.169649297623344,unknown,p,0.7129709566938061,0.6194890610261724
10.1063_1.3695155__sample_17966,3.5737908186707084,35.65148563099513,unknown,p,0.5214915708746569,0.4469899517941371
10.1063_1.3695155__sample_17967,2.9617804426143906,19.332361292001195,unknown,n,0.552546258652334,0.4590707648343204
10.1063_1.3695155__sample_17968,2.759297154868173,15.788742007138785,unknown,n,0.388733381828907,0.3250138994006539
10.1063_1.3699038__sample_25603,0.2656432700346108,1.304269703602587,unknown,p,0.3063431118606457,0.2556362707322841
10.1063_1.3699038__sample_25604,1.6584409531965545,5.251117721077471,unknown,p,0.2402489634735199,0.1949769773275949
10.1063_1.4705429__sample_24641,-1.925000596921688,0.1458756697798504,unknown,p,0.7547459268936232,0.979948232937608
10.1063_1.4705429__sample_24642,-1.8983576796884012,0.1498144606238682,unknown,p,0.7401865186655365,0.8907557709150173
10.1063_1.4705429__sample_24643,-1.3599030027734127,0.2566856735445247,unknown,p,0.4295558788080958,0.405719726420417
10.1063_1.4705429__sample_24644,-1.2151434757304398,0.2966674466617997,unknown,p,0.4639465960731685,0.454922026696432
10.1063_1.4705429__sample_24645,-2.3447907900565705,0.095867256415939,unknown,p,0.8907965868050436,1.3063748876876928
10.1063_1.4705429__sample_24646,-2.157726184099088,0.1155876474873505,unknown,p,0.9803039679517532,1.4856140758956886
10.1063_1.4705429__sample_24647,-1.9708609192588584,0.1393368467883812,unknown,p,0.8983664493330729,1.3982067223520027
10.1063_1.4710990__sample_12375,1.2242348118825737,3.401562251691878,unknown,n,0.3230235229417365,0.2836295173129681
10.1063_1.4710990__sample_12376,1.3507322166715394,3.860251036294685,unknown,n,0.3393176574455291,0.309370907904553
10.1063_1.4710990__sample_12377,1.4293339622536827,4.175916947173783,unknown,n,0.3186229136460144,0.290973469531214
10.1063_1.4710990__sample_12378,1.5546294997943644,4.733332499581633,unknown,n,0.2364332790944669,0.2112648194295109
10.1063_1.4710990__sample_12379,1.592530579786304,4.916173970891877,unknown,n,0.1807346404796603,0.1596827950215265
10.1063_1.4710990__sample_12380,1.6649011764921453,5.285150926798167,unknown,n,0.1308896072016101,0.108573675771256
10.1063_1.4711100__sample_836,-0.8356968675479197,0.4335722337125552,unknown,n,0.1586185853403669,0.1340354422031636
10.1063_1.4711100__sample_837,-2.326984963546808,0.0975895399893406,unknown,n,0.1609545377049211,0.1324437075089153
10.1063_1.4711100__sample_838,-1.094894357619401,0.3345749503759393,unknown,n,0.2060082214375972,0.1684221784515398
10.1063_1.4711100__sample_839,0.5383703800423972,1.7132127004840572,unknown,n,0.258114954613272,0.1656722266780781
10.1063_1.4711100__sample_840,0.5383703800423972,1.7132127004840572,unknown,n,0.258114954613272,0.1656722266780781
10.1063_1.4711100__sample_841,-0.0907655771962793,0.9132317681598728,unknown,n,0.3735909013752511,0.2996121649318108
10.1063_1.4720075__sample_24877,-2.8006721821336487,0.060769200922367,unknown,p,0.2176216693111775,0.1741298553174042
10.1063_1.4720075__sample_24878,-2.3468211543195348,0.0956728084314421,unknown,p,0.3358301662930572,0.2855039574658503
10.1063_1.4720075__sample_24879,0.1165401383645174,1.1236026091332028,unknown,p,0.3905740882987822,0.3389637559679471
10.1063_1.4729560__sample_22294,1.6379544595126936,5.144635182151,unknown,n,0.1839928633750636,0.1279334472697884
10.1063_1.4729772__sample_16251,-3.072359715820818,0.0463117432647959,unknown,p,1.7714216619286174,3.005139273513389
10.1063_1.4729772__sample_16252,-1.4122713650918022,0.2435893739258655,unknown,p,1.7227253647582093,4.378427205531447
10.1063_1.4729789__sample_12839,-0.9909469748650688,0.3712249837904396,unknown,p,1.9735150239129284,5.96699702968547
10.1063_1.4729789__sample_12840,2.967940819856595,19.451823518933043,unknown,p,0.5046348534776252,0.432774619634821
10.1063_1.4729789__sample_12841,2.188910711331496,8.925485387415657,unknown,p,0.0942406973361763,0.072695982628563
10.1063_1.4729789__sample_12842,3.544943918345035,34.63774274585191,unknown,p,0.5181606843422923,0.4738384839135117
10.1063_1.4729789__sample_12843,3.8176058711605223,45.49515656457266,unknown,p,0.4354189819046214,0.3765727375996415
10.1063_1.4731251__sample_19623,0.3512004820167539,1.4207721366248267,unknown,n,2.2374435730240085,8.42943369840792
10.1063_1.4731251__sample_19624,2.5940913490848274,13.384420068789655,unknown,n,0.2999229851681032,0.2216662529139348
10.1063_1.4731251__sample_19625,4.046660829703107,57.20611679838554,unknown,n,0.383654162741359,0.3774950359235391
10.1063_1.4731251__sample_19626,4.1827867330480295,65.54826444502831,unknown,n,0.3429139627375828,0.3337717111170902
10.1063_1.4731251__sample_19627,2.731608023005332,15.357562489017337,unknown,n,0.1225838104660171,0.0976628299544163
10.1063_1.4733661__sample_11209,-2.672026653489399,0.0691120171699216,unknown,p,0.147494039035291,0.1223032036529718
10.1063_1.4733661__sample_11210,-2.9888680565656696,0.0503443914861238,unknown,p,0.2905682722773817,0.2799740406775561
10.1063_1.4736417__sample_7009,-0.7583828202193265,0.4684233395666498,unknown,n,0.1711964246821613,0.1482476865911402
