sample_key,classification_case_step15,threshold_step15,material_system,n_or_p,composition,DOI,paper_title,zt_obs_max_step14,zt_pred_max_step14,zt_calc_from_obs_max_step14,zt_pred_vs_obs_mape_step14,zt_pred_vs_calc_mape_step14,nanocarbon_keyword_detected_step9,rare_metal_flag_auto_step9,toxicity_flag_auto_step9,manual_review_priority_score_step15,needs_manual_review_step15,needs_sintering_check_later_step15,sintering_check_reason_step15,doi_url
10.1016_j.mtphys.2021.100497__sample_45597,true_positive,1.0,unknown,p,Ge0.745Al0.015Pb0.1Sb0.1Te,10.1016/j.mtphys.2021.100497,,2.156121,1.6525942245025231,2.141363964284315,0.3669533687497637,0.4234420419672752,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1016/j.mtphys.2021.100497
10.1016_j.mtphys.2021.100497__sample_45598,true_positive,1.0,unknown,p,Ge0.74Al0.02Pb0.1Sb0.1Te,10.1016/j.mtphys.2021.100497,,2.22971,1.8521001123197476,2.257485731723264,0.3148891755109723,0.3219114985925764,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1016/j.mtphys.2021.100497
10.1016_j.mtphys.2021.100497__sample_45599,true_positive,1.0,unknown,p,Ge0.73Al0.03Pb0.1Sb0.1Te,10.1016/j.mtphys.2021.100497,,2.069919,1.5735048539443552,1.919464834759256,0.33726806178916385,0.2911930832950347,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1016/j.mtphys.2021.100497
10.1016_j.mtphys.2021.100497__sample_45600,true_positive,1.0,unknown,p,Ge0.72Al0.04Pb0.1Sb0.1Te,10.1016/j.mtphys.2021.100497,,1.114168,1.4043345125410471,1.6365086724767142,0.28309063577180976,0.24057094195818163,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1016/j.mtphys.2021.100497
10.1016_j.nanoen.2012.07.020__sample_11946,false_positive,1.0,unknown,n,Hf0.5Ti0.25Zr0.25NiSn0.99Sb0.01,10.1016/j.nanoen.2012.07.020,,0.9953421,1.143213843875601,1.0259593527453013,0.15149497928546138,0.10624938135293087,False,True,True,75,yes,yes,high-ZT false positive; important candidate for paper; high predicted ZT; carried from Step14,https://doi.org/10.1016/j.nanoen.2012.07.020
10.1016_j.nanoen.2013.09.009__sample_14054,true_positive,1.0,unknown,n,AgPb18SbSe19.964Cl0.036,10.1016/j.nanoen.2013.09.009,,1.096324,1.6791055715185446,1.1579505468347937,0.27226855683771384,0.24784132459918387,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1016/j.nanoen.2013.09.009
10.1016_j.nanoen.2013.09.009__sample_14055,true_positive,1.0,unknown,n,AgPb18SbSe19.928Cl0.072,10.1016/j.nanoen.2013.09.009,,1.283333,1.6541480004410032,1.316595767263899,0.19699091781557473,0.1822903475188207,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1016/j.nanoen.2013.09.009
10.1016_j.nanoen.2013.09.009__sample_14056,true_positive,1.0,unknown,n,AgPb18SbSe19.856Cl0.144,10.1016/j.nanoen.2013.09.009,,1.171814,1.57371487084114,1.1914954971369616,0.24371177107603664,0.2297673385112791,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1016/j.nanoen.2013.09.009
10.1016_j.nanoen.2013.09.009__sample_14057,true_positive,1.0,unknown,n,AgPb18SbSe19.73Cl0.27,10.1016/j.nanoen.2013.09.009,,1.111765,1.468245517408492,1.1320701794096193,0.21647493682144078,0.2185195091852834,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1016/j.nanoen.2013.09.009
10.1016_j.nanoen.2015.07.012__sample_14067,true_positive,1.0,unknown,p,Cu2Se,10.1016/j.nanoen.2015.07.012,,1.822264,3.5572309907434425,1.9175615389338163,0.3542926318643129,0.3412520341805423,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1016/j.nanoen.2015.07.012
