sample_key,target_log_tau_eff_step18,target_tau_eff_step18,target_available_step18,target_quality_step18,target_quality_note_step18,use_for_tau_eff_ml_step18,ml_exclusion_reason_step18
10.1109_ict.2006.331297__sample_12427,0.6219441298686325,1.8625455546941143,True,medium,ok,True,ok
10.1109_ict.2006.331300__sample_5139,0.6452185601631095,1.906403647634355,True,medium,ok,True,ok
10.1109_ict.2006.331300__sample_5140,0.6262260288795147,1.870537885628058,True,medium,ok,True,ok
10.1109_ict.2006.331300__sample_5141,0.983354725170949,2.6734097702675017,True,medium,ok,True,ok
10.1109_ict.2006.331300__sample_5142,0.8301796239373732,2.2937307122048645,True,medium,ok,True,ok
10.1109_ict.2006.331300__sample_5143,1.1741576658566466,3.2354164939274392,True,medium,ok,True,ok
10.1109_ict.2006.331301__sample_5145,0.4054500827171471,1.499977462082795,True,medium,ok,True,ok
10.1109_ict.2006.331301__sample_5146,1.253643157973608,3.503082019355366,True,medium,ok,True,ok
10.1109_ict.2006.331301__sample_5147,1.0875565869703834,2.967015563919081,True,medium,ok,True,ok
10.1109_ict.2006.331301__sample_5148,0.6889952467065089,1.9917133470148145,True,medium,ok,True,ok
10.1109_ict.2006.331302__sample_5149,-0.3855204158504819,0.6800966110361809,True,low,validation_sigma_log_rmse_step13 missing,True,ok
10.1109_ict.2006.331302__sample_5150,-1.0383765478172555,0.3540289647679158,True,low,validation_sigma_log_rmse_step13 missing,True,ok
10.1109_ict.2006.331302__sample_5151,-2.277557312898885,0.1025343604271685,True,low,validation_sigma_log_rmse_step13 missing,False,large sigma fit error
10.1109_ict.2006.331307__sample_5158,-1.841393044636354,0.1585963403702255,True,low,ok,False,large sigma fit error
10.1109_ict.2006.331307__sample_5159,1.179818857960232,3.253784752297144,True,low,ok,True,ok
10.1109_ict.2006.331307__sample_5160,0.4535055278629593,1.5738195951032294,True,medium,ok,True,ok
10.1109_ict.2006.331307__sample_5161,0.6375579069590009,1.8918551470803693,True,medium,ok,True,ok
10.1109_ict.2006.331308__sample_5162,0.8319656581077547,2.2978310542200107,True,medium,ok,True,ok
10.1109_ict.2006.331309__sample_5166,-0.1338571529321907,0.8747150061531523,True,medium,ok,True,ok
10.1109_ict.2006.331310__sample_5170,-1.713963159417046,0.1801504111696028,True,medium,ok,True,ok
10.1109_ict.2006.331327__sample_16087,-6.131923952000769,0.0021723973492452,True,low,ok,True,ok
