sample_key,composition,material_system,n_or_p,fit_status_step12,n_fit_rows_step12,sigma_fit_log_rmse_step12,validation_sigma_log_rmse_step13,target_available_step18,target_quality_step18,ml_exclusion_reason_step18
10.1021_acsami.9b02124__sample_83818,Nb0.8Ti0.2FeSb,unknown,p,ok,18,0.6419417145280492,1.4021986871232226,True,low,large validation error
10.1021_acsami.9b02124__sample_83819,Nb0.8Ti0.2FeSb,unknown,p,ok,18,0.6459566231965087,1.4178435830627871,True,low,large validation error
10.1021_acsami.9b02124__sample_83820,Nb0.8Ti0.2FeSb,unknown,p,ok,18,0.6375222623029089,1.396237484685807,True,low,large validation error
10.1021_acsami.9b05470__sample_45841,Bi2O2Se,unknown,n,ok,10,1.583519976155481,2.327961582389493,True,low,large sigma fit error
10.1021_acsami.9b07313__sample_40962,Te,unknown,p,ok,7,1.030825777240134,1.4695597112578678,True,low,large sigma fit error
10.1021_acsami.9b11115__sample_42877,Cu4Bi4S9,unknown,p,ok,5,1.309680298462417,,True,low,large sigma fit error
10.1021_acsami.9b11115__sample_42878,Cu4Bi4S9,unknown,p,ok,6,1.4207653410422536,,True,low,large sigma fit error
10.1021_acsami.9b12256__sample_41041,(Cu2Te)0.03(Cu3.52In4.16Te8),unknown,p,ok,10,1.0899747844222625,1.106574278659856,True,low,large sigma fit error
10.1021_acsami.9b12256__sample_41042,(Cu2Te)0.05(Cu3.52In4.16Te8),unknown,p,ok,10,1.479460443990455,1.5422491434100971,True,low,large sigma fit error
10.1021_acsami.9b12256__sample_41043,(Cu2Te)0.08(Cu3.52In4.16Te8),unknown,p,ok,10,1.3393879643371651,1.3252163808267652,True,low,large sigma fit error
10.1021_acsami.9b12256__sample_41044,(Cu2Te)0.11(Cu3.52In4.16Te8),unknown,p,ok,10,1.170332570628466,1.2157848626413246,True,low,large sigma fit error
10.1021_acsami.9b13603__sample_83929,NbCoSn,unknown,n,ok,8,0.7155147886710482,1.0284847720986323,True,low,large validation error
10.1021_acsami.9b22333__sample_36247,CaMg2Bi1.98,unknown,p,ok,11,0.5771746094608201,1.114785646508252,True,low,large validation error
10.1021_acsami.9b22333__sample_36248,CaMg1.95Zn0.05Bi1.98,unknown,p,ok,11,0.7016398095330486,1.3136138023560406,True,low,large validation error
10.1021_acsami.9b22333__sample_36249,CaMg1.9Zn0.1Bi1.98,unknown,p,ok,11,0.7378516616629802,1.314849669937155,True,low,large validation error
10.1021_acsami.9b22333__sample_36250,CaMg1.8Zn0.2Bi1.98,unknown,p,ok,11,0.8090172678960708,1.379098076095959,True,low,large validation error
10.1021_acsami.9b23059__sample_34818,Mg3.2Sb2,unknown,p,ok,10,1.009656815432726,1.4867491549984633,True,low,large sigma fit error
10.1021_acsenergylett.6b00671__sample_31747,Sn0.91Mg0.12Te(Cu2Te)0.03,unknown,p,ok,25,0.6313412873068377,1.1290940457147056,True,low,large validation error
10.1021_acsenergylett.6b00671__sample_31749,Sn0.91Mg0.12Te(Cu2Te)0.05,unknown,p,ok,21,0.6813783717269207,1.0118761998281411,True,low,large validation error
10.1021_acsenergylett.6b00671__sample_31752,Sn0.98Mg0.05Te(Cu2Te)0.05,unknown,p,ok,17,0.6159935338723046,1.0099452686968784,True,low,large validation error
10.1021_acsenergylett.6b00671__sample_31754,Sn0.93Mg0.1Te(Cu2Te)0.05,unknown,p,ok,20,0.626603129738902,1.1375518263346998,True,low,large validation error
10.1021_acsenergylett.6b00671__sample_31755,Sn0.91Mg0.12Te(Cu2Te)0.05,unknown,p,ok,21,0.68097044702646,1.1400720593964142,True,low,large validation error
10.1021_acsnano.1c03120__sample_44825,Cu2Sn0.97In0.03Se2.7S0.3,unknown,p,ok,14,0.5869920101032308,1.3065276487473965,True,low,large validation error
10.1021_acsnano.1c03120__sample_44826,Cu2Sn0.94In0.06Se2.7S0.3,unknown,p,ok,14,0.5763205807631728,1.2644940076411912,True,low,large validation error
10.1021_acsnano.1c03120__sample_44827,Cu2Sn0.91In0.09Se2.7S0.3,unknown,p,ok,14,0.683603520517339,1.5214317284148229,True,low,large validation error
10.1021_acsnano.1c03120__sample_44828,Cu2Sn0.88In0.12Se2.7S0.3,unknown,p,ok,14,0.6850082830482193,1.5191806510591688,True,low,large validation error
10.1021_acsnano.1c03120__sample_44829,Cu2Sn0.85In0.15Se2.7S0.3,unknown,p,ok,14,0.675489826819461,1.4924887037733,True,low,large validation error
10.1021_acsnano.1c03120__sample_44830,Cu2Sn0.82In0.18Se2.7S0.3,unknown,p,ok,14,0.5705409290344576,1.2349788517872995,True,low,large validation error
10.1021_acsnano.1c03120__sample_44831,Cu2Sn0.79In0.21Se2.7S0.3,unknown,p,ok,14,0.6113741193352416,1.345427911670459,True,low,large validation error
10.1021_acsnano.1c03120__sample_44835,Cu2Sn0.82In0.18Se2.7S0.3,unknown,p,ok,14,0.5386715961483219,1.1879197709540077,True,low,large validation error
10.1021_acsnano.1c03120__sample_44836,Cu2Sn0.82In0.18Se2.7S0.3,unknown,p,ok,14,0.5275172427710229,1.1560082396111724,True,low,large validation error
10.1021_acsnano.1c03120__sample_44837,Cu2Sn0.82In0.18Se2.7S0.3,unknown,p,ok,14,0.5242367422353256,1.1426394035989798,True,low,large validation error
10.1021_acsomega.8b01357__sample_45918,CaMnO3,unknown,n,ok,9,0.7850340336823475,1.7903849219608914,True,low,large validation error
10.1021_acsomega.8b01552__sample_45619,Ca2.95Lu0.05Co3.85Ga0.15O9,unknown,p,ok,8,0.540768150347665,1.0099126580170594,True,low,large validation error
10.1021_am100243e__sample_26128,La0.94Ce0.06CoO3,unknown,n,ok,55,4.069678109450514,6.141367070079877,True,low,large sigma fit error
10.1021_am502140h__sample_66,Pb1.0005Te0.75S0.15Se0.1Cl0.001,unknown,n,ok,16,0.6257155665075129,1.014933101458111,True,low,large validation error
10.1021_am509050a__sample_1382,Zn0.945Fe1.78O3.71,unknown,n,ok,5,1.0668956675190373,,True,low,large sigma fit error
10.1021_am509050a__sample_1384,Zn0.750Fe0.171O,unknown,n,ok,6,2.003288801321064,,True,low,large sigma fit error
10.1021_cm0518067__sample_13752,Tl2CdGeTe4,unknown,p,ok,11,1.003519608235725,1.454266593401064,True,low,large sigma fit error
10.1021_cm0518067__sample_13753,Tl2CdSnTe4,unknown,p,ok,16,1.4142557491156893,1.9399959520807828,True,low,large sigma fit error
10.1021_cm0518067__sample_13755,Tl2HgSnTe4,unknown,n,ok,68,3.0719453127971166,4.571027597983534,True,low,large sigma fit error
10.1021_cm0518067__sample_13766,I0.001Tl2HgSnTe3.999,unknown,p,ok,42,0.7641733038395921,1.5654451841681547,True,low,large validation error
10.1021_cm0518067__sample_13768,Ga0.001Tl2HgSnTe3.999,unknown,n,ok,44,0.8725846046802742,1.6871872547558184,True,low,large validation error
10.1021_cm061163a__sample_24993,Ca1.73Pr0.27(Co1.03Cu0.97)O4(CoO2)1.60,unknown,p,ok,28,2.8196588266142486,2.679799808839193,True,low,large sigma fit error
10.1021_cm061195y__sample_1270,Ba8Cu5.9Ge40.1,unknown,n,ok,8,0.6602514267014905,1.476656060858056,True,low,large validation error
10.1021_cm061195y__sample_1271,Ba8Cu5.8Ge40.2,unknown,n,ok,11,0.5527887543772259,1.1803367933035995,True,low,large validation error
